question,answer
Types of Memberships?,There are three types of Memberships Free Trial Sixmonth and Annual MembershipsTrial Memberships allow you full access to the website for a free trial period as determined from timetotime You have full access to the member portal Once you create an account create a property profile and complete your personal profile your property is searchable by Trial and Paying Members You can search Trial and Paying Member properties and communicate with them via InMailYou do not need to enter your credit card payment information when joining as a Trial MemberSixMonth amp Annual Memberships allow you full access to the website for the term of the subscription you choose If you did not join as a Trial member you can create an account create a personal profile and property profile Your property is searchable by Trial and Paying Members You can search Trial and Paying Member properties and communicate with them via InMail
What is the Term of My Membership?,A Trial Membership is the length of term currently available at the time a Member joins as a new Member At the end of your trial period you will need renew as a paying member You can set up autopay when renewing as a paying memberPaying Memberships are either SixMonths 180days or Annual one year You can set up autopay when renewing your subscription as a paying member
How Do I Join?,"Joining SENIORHOMEXCHANGECOM is easy Click on the Join button or the Membership link at the top of any pageIt takes you to the Membership page As a thank you for considering SENIORHOMEXCHANGECOM we provide you a Free Trial membership nbspWe do not ask for payment information when joining as a Free Trial  memberBelow is the process to start your Free Trial  membership
	Click on the Start Free Trial  button
	Enter your email If the email is available a Start Trial button will appear Click it
	You will receive an email with your temporary password and a Thank You popup window appears Click on the Log In button
	You will immediately enter the member portal My Account area landing on thenbspCreate a New Property page within the Manage Properties section
	Enter the required information red asterisked fields for your property Do not forget to upload at least one picture of your property That picture will appear in your Property Public Profile that is available for other members to see when searching other member properties on the Explore page Be sure to click the Finish button to save your information
	Once your Property is created click on the My Profile section at the left Enter the required information This is your Personal Profile Only your Public Name appears in your profile The public name can be in any form For example if you are a couple you can enter your first name amp your significant otherrsquos first name Click the Save button to save your entries
	Finally click on the image area on the left to upload a picture that will appear in your Public Profile
CONGRATULATIONS Yoursquore a member of SENIORHOMEXCHANGECOMExplore create Time To Go date ranges and begin exchanging with likeminded members"
"When I Join, What Login Information Do I Need?","When joining SENIORHOMEXCHANGECOM you will want to make sure you have certain information available before you startYou will need to have a valid email address create a Property Profile and create a Personal Profile
	
	To Join you will need a valid email address
	
	
	For your Property Profile you will need at least one picture jpg or png of your home
	
	
	For your Public Profile you will need a picture of you and your significant other if a couple
	
	
	A temporary Log In password is sent to the email you used to Log In after you have joined Don39t forget to change your password
	
Required information during the Join process is marked by a Red Asterisk next to the required field At anytime during the join process or later you can populate additional information and upload additional pictures or videos of your property to better inform your potential Exchange Partners When you are done always click the Finish Save or Update button to save your entriesWhenever you are at the My Account section of the website you will notice a  of Profile Completed number below your Photo image to let you know how much of your profile is completed The more complete your profile the more likely other Members will engage you in potential exchanges"
What is a Group Number and Why Would I Enter It When I Join?,SENIORHOMEXCHANGECOM partners with other organizations who share our website with their members They are given a Group Number that they provide to their membersWhen a Member joins SENIORHOMEXCHANGECOM and enters their organizationrsquos Group Number SENIORHOMEXCHANGECOM will provide the organization agreed upon compensation for promoting our website based on the number of Paying Members who have entered the Group NumbernbspnbspYou must enter your organizationrsquos Group Number in the Group Number field on the Join Here page when you join This benefits your organization year after year for as long as there is an arrangement between your organization and SENIORHOMEXCHANGECOM
What is involved in setting up My Profile Contact Information?,"There is a minimum amount of required information that must be entered to gain full access tonbspSENIORHOMEXCHANGECOMWhen you first join SENIORHOMEXCHANGECOM you are required to create a Property Profile and a Personal Profile During the Join process you are first taken to the Create Property pageOnce you39ve successfully created a Property Profile entered the required information and clicked the Update button to save your entries you go to the My AccountManage Properties PageFrom My Account click on My Profile To add an image click on the Personal Profile Image at the left of the page above My ProfileThe required fields for the My Profile page are as follows
	First amp Last Name fields
	Public Name this is what appears in your public profile like quotJack amp Jillquot
	Email Address this is populated automatically for you and cannot be change
	Country StateProvince City amp Postal Code fields populated in that order
Be sure to click the Save button to save your entriesProviding a narrative about your interests in the About Us fieldnbsp helps other Members know something about you The About Us is not a required field so you can fill it in after you have JoinedOnce you39ve successfully created a Property Profile completed the required fields on My Profile page you have full access to the Member portal set up Time To Go date ranges Explore other member properties and begin communicating with other members via In Mail"
What is involved in setting up My Exchange Property Information?,"Setting up your exchange property in SENIORHOMEXCHANGECOM is easy After you have initiated the Join process you will land on the Create a New Property pageYou must create a property prior to having full access to the member portal The required information red asterisked fields to create your property is as follows
	Property Title this is the title other members will see that describes your property
	Country currently Canada amp USA
	StateProvince this determines your choices of cities in the City field and also determines your Region if applicable
	City select the city that most closely matches your city if your city is not found in the dropdown list
	Description this is a description of your prperty showcasing it for other members when they view your Public Profile
	Postal Code this determines your Metro Area if available
As stated above the Region and Metro Area if applicable are determined by your StateProvince amp Postal Code entries respectivelyDo not forget to upload at least one picture of your property That picture will appear in your Property Public Profile available to other members when searching other member properties on the Explore page or appearing in a Time To Go search result You can upload a maximum of eight 8 pictures and two 2 videosBe sure to click the Finish button to save your informationOnce your Property is created click on the My Profile section at the left Enter the required information This is your Personal Profile Only your Public Name appears in your profile The Public Name can be in any form For example if you are a couple you can enter your first name amp your significant otherrsquos first name Jack amp Jill Click the Save button to save your entriesFinally click on the image area on the left to upload a picture that will appear in your Public ProfileCONGRATULATIONS Yoursquore a member of SENIORHOMEXCHANGECOMFor Members who have another property you can create a second property if you wish to exchange that property too There is no additional charge for listing two propertiesnbsp"
Can I Change My Account Information?,Yes you can Go to your My Account page select the appropriate navigation button on the lefthand side of the My Account page edit the information and make whatever changes you wish Be sure to click the Finish Save or Update button The edited information does not get saved until you click the buttonIf you do not want to save your changes simply leave the edit page without clicking on the Finish Save or Update button In that case the original information remains
What Information is Accessible to Other Members from My Profile Page?,"The information available to other members when they search a property or a group of properties is locality information only This includes the following
	Member Profile Photo amp Description About Us
	Property Photo amp Location Country StateProvince amp City and Metro Area amp Region if applicable
	Proprety Description Home Type amp Configuration  of Floors Bedrooms amp Bathrooms
	Property Amenities Transportation Entertainment Living Equipment amp Miscellaneous
	Member Preferences amp Exchange Preferences
To see what your Public Profile looks like go to My Account  Manage Properties page Click on the View button If you want to make any changes note what area you want to change and go to the appropriate page from My Account"
Can I change my email & password?,You can change your password at any time by going to the My AccountMy Profile section when logged in Scroll down to the Change Your Password Click the Update button to save your new passwordYour email is tied to your account and log in You cannot change your email once it is used to create an account
How Do I Choose a Plan?,"When you first joinnbspSENIORHOMEXCHANGECOM you do so with a Free Trial The term of your Free Trial is determined by the Free Trial term in place at the time you JoinThere are two Paid Plan options SixMonth 180days plan amp Annual oneyear plan When selecting either Paid Plan your subscription is renewed starting the end date of your Free Trial so renewing early will not cut short your Free Trial durationAs you near the expiration of your Free Trial you will receive an email inviting you to select a plan
	Once your Free Trial has expired you will be prompted to renew your subscriptoin You can renew under a SixMonth 180 day plan or an Annual full year plan
	You can also go to the Membership page select a plan and renew there
When selecting either Paid Plan you are directed to a secure payment page Payment is by Credit Card or Debit Card After payment is made you will go to the My AccountMy Profile page to continue exchanging with other membersWe also recommend you choose Auto Renew when selecting a paid plan so your subscription stays current"
Can I Change My Membership from Non-Paying to Paying?,Absolutely If you are a NonPaying Member you can go to your profile select Change My Membership You will be prompted to select either the SixMonth Plan or Annual Plan Then directed to the secure Payment page to enter your payment information
