title,slug
Types of Memberships?,"There are three types of Memberships; Free Trial, Six-month and Annual Memberships When you first join, you automatically join under the Free Trial Membership. We do not ask you to enter your credit card payment information when joining as a Free Trial Member ! When your Free Trial Membership expires, you renew your membership under one of our paid subscriptions. Six-Month &amp; Annual Memberships allow you continued, full access to the website for the term of the subscription you choose."
What is the Term of My Membership?,"The Free Trial Membership is six-months. At the end of your trial period, you renew as a paying member under one of the paid membership plans. Paid Memberships are Six-Months (180-days) or Annual (one year). You can set up auto-pay when renewing as a paying member."
How Do I Join?,"Joining SENIORHOMEXCHANGE.COM is easy. There are three things required to take advantage of your Free Trial membership as a full-access member. Complete your My Profile (done when you start the Join process). Successfully Create New Property . Upload Image of you (or you and your significant-other). This information is incorporated into your Public Profile which other members see&nbsp;when searching to swap their house with you. &nbsp; Here is&nbsp;the Join process detail. Click on the Join button or the Membership link at the top of any page. Either way gets you to the Membership page. As a thank you for considering SENIORHOMEXCHANGE.COM we provide you a Free Trial membership. We do not ask for payment information when joining as a Free Trial member. Below is the process to start your Free Trial membership. Click on the Start Free Trial button. Enter your email. You will see confirmation that your the email is available. Click to accept the Terms of Service. Fields will appear to enter your First Name, Last Name and Password. Click the Start Trial button. You Enter the Member Portal by landing on the Create New Property page . Enter the required information (red asterisked fields) for your property. Required fields are as follows: Property Title Country (currently Canada or USA) State or Province City State Description of Your Property Postal Code Property Image Make sure you upload at least one picture of your property. That picture will appear in your Property Public Profile made available for other members when searching member properties. Be sure to click the Finish button to save your information. You will land on the My Profile page. It is helpful if you tell other members about yourself and your interest in the About Us field. Once you upload a picture of yourself (or you and your significant other) you will have full access to the website. CONGRATULATIONS! You are a member of SENIORHOMEXCHANGE.COM ! &nbsp; To see what your Public Profile looks like, go to Manage Properties and click the VIEW button. You can change or update any fields you want for your property by clicking on the EDIT button. Be sure to click either of the UPDATE buttons on the page to save any changes. You engage other members by searching their properties via the Explore page. Click on EXPLORE in the website header to go to the Explore page. OR Use our AI engine Time To Go! From the My Accounts page, click on the TIME TO GO navigation button on the left. Create up to four date ranges. Using AI , we compare your date range with other members TIME TO GO date ranges and return those that match. You communicate with them via our InMail Messages to begin exchanging with likeminded members. On the My Account page under My Profile you can change your password by scrolling down to the CHANGE YOUR PASSWORD section. Complete the information and click on the UPDATE button."
"When I Join, What Information Do I Need?","Joining SENIORHOMEXCHANGE.COM is easy. There are three things required to take advantage of your Free Trial membership as a full-access member. Complete your My Profile (done when you start the Join process). Successfully Create New Property . Upload Image of you (or you and your significant-other). This information is incorporated into your Public Profile which other members see&nbsp;when searching to swap their house with you. &nbsp; When joining SENIORHOMEXCHANGE.COM , you will want to make sure you have certain information available before you start. You will need to have a valid email address, create a password and create a Property Profile . To Join , you will need a valid email address. To complete your My Profile , you will need a picture of you (and your significant other, if a couple). For your Property Profile , you will need at least one picture (jpg or png) of your home. The information you need to Create New Property are as follows. Property Title Country (currently Canada or USA) State or Province City State Description of Your Property Postal Code Property Image Required information during the Join process is marked by a Red Asterisk next to the required field. At any time (during the join process or later), you can populate additional information and upload additional pictures or videos of your property to better inform your potential Exchange Partners . When making changes within the website, always click the Finish, Save or Update button to save your entries. Whenever you are at the My Account page of the website, you will notice a % of Profile Completed number below your Photo image to let you know how much of your profile is completed. The more complete your profile, the more likely other Members will engage you in potential exchanges."
What is a Group Number and Why Would I Enter It When I Join?,"SENIORHOMEXCHANGE.COM partners with other organizations who share our website with their members. They are given a Group Number that they provide to their members. When a Member joins SENIORHOMEXCHANGE.COM and enters their organization&rsquo;s Group Number , SENIORHOMEXCHANGE.COM will provide the organization agreed upon compensation for promoting our website based on the number of Paying Members who have entered the Group Number. &nbsp;&nbsp; You must enter your organization&rsquo;s Group Number in the Group Number field on the Join Here page when you join. This benefits your organization year after year for as long as there is an arrangement between your organization and SENIORHOMEXCHANGE.COM ."
What is involved in setting up My Profile Contact Information?,"Joining SENIORHOMEXCHANGE.COM is easy. There are three things required to take advantage of your Free Trial membership as a full-access member. Complete your My Profile (done when you start the Join process). Successfully Create New Property . Upload Image of you (or you and your significant-other). This information is incorporated into your Public Profile which other members see&nbsp;when searching to swap their house with you. &nbsp; When you first join SENIORHOMEXCHANGE.COM you are required to complete your Personal Profile and create a Property Profile . From My Account , click on My Profile on the lefthand side of the page. To add an image, click on the Personal Profile Image at the left of the My Account page above My Profile . The required fields for the My Profile page are as follows. First &amp; Last Name fields Public Name (this is what appears in your public profile, like &quot;Jack &amp; Jill&quot; Email Address (this is populated automatically for you and cannot be change) Note, About Us is not a required field, but it is important to your Public Profile. Populating the About Us f ield allows you to inform your fellow members who you are, what your interests are and why they would want to exchange their home with you. Whenever making changes, be sure to click the Save button to save your entries! To see what your Public Profile looks like, go to Man a ge Properties and click the VIEW button. Set up Time To Go date ranges, Explore other member properties and begin communicating with other members via InMail Messages ( an in mail service to maintain anonymity)."
What is involved in setting up My Exchange Property Information?,"Joining SENIORHOMEXCHANGE.COM is easy. &nbsp; There are three things required to take advantage of your Free Trial membership as a full-access member. Complete your My Profile (done when you start the Join process). Successfully Create New Property . Upload Image of you (or a picture of you and your significant-other). This information is incorporated into your Public Profile which other members see when searching to swap their house with you. &nbsp; You Enter the Member Portal by landing on the Create New Property page . Enter the required information (red asterisked fields) for your property. Required fields are as follows: Property Title Country (currently Canada or USA) State or Province City State Description of Your Property Postal Code Property Image Make sure you upload at least one picture of your property. That picture will appear in your Property Public Profile made available for other members when searching member properties. Be sure to click the Finish button to save your information. You will land on the My Profile page. It is helpful if you tell other members about yourself and your interest in the About Us field. Once you upload a picture of yourself (or you and your significant other) you will have full access to the website. Once you upload a picture of yourself (or you and your significant other) you will have full access to the website. CONGRATULATIONS! You are&nbsp;a member of SENIORHOMEXCHANGE.COM ! For Members who have another property, you can create a second property, if you wish to exchange that property, too. There is no additional charge for listing two properties. &nbsp;"
Can I Change My Account Information?,"Yes, you can! Go to your My Account page, select the appropriate navigation button on the left-hand side of the My Account page, edit the information and make whatever changes you wish. Be sure to click the Finish , Save or Update button. The edited information does not get saved until you click the button. If you do not want to save your changes, simply leave the edit page without clicking on the Finish , Save or Update button. In that case, the original information remains."
What Information is Accessible to Other Members from My Profile Page?,"The information available to other members when they search a property or a group of properties is locality information only. This includes the following. Member Profile Photo &amp; Description (About Us) Property Photo &amp; Location (Country, State/Province &amp; City and Metro Area &amp; Region, if applicable) Proprety Description, Home Type &amp; Configuration ( # of Floors, Bedrooms &amp; Bathrooms) Property Amenities (Transportation, Entertainment, Living, Equipment &amp; Miscellaneous) Member Preferences &amp; Exchange Preferences Member Affiliations (Educator or Military careers) We do not ask for your address. We seek to maintain your annonymity until you have properly vetted your potential exchange partner. Whenever a member searches via the Explore page, the map does not show your exact location but an approximation of where your home is located. To see what your Public Profile looks like, go to My Account / Manage Properties page. Click on the View button. If you want to make any changes, note what area you want to change and go to the appropriate page from My Account ."
Can I change my email & password?,You can change your password at any time by going to the My Account/My Profile section when logged in. Scroll down to the Change Your Password . Click the Update button to save your new password. Your email is tied to your account and log in. You cannot change your email once it is used to create an account.
